,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
137,138,0.982586903,[2.1614319],0.6205,0.315,0.1325,0.04075,0.0105,0.719049603,0.473411942,0.295486666,0.166844311,0.088872927
138,139,0.959636776,[2.35625042],0.61925,0.3115,0.12975,0.03525,0.008,0.727575733,0.484784159,0.299804513,0.179742528,0.102302383
139,140,1.010772014,[2.20138601],0.61225,0.3125,0.139,0.0475,0.01275,0.716307573,0.471597032,0.288349581,0.169107362,0.098369707
140,141,0.99457384,[2.22402956],0.61725,0.317,0.13025,0.042,0.0125,0.717859376,0.480943713,0.303254752,0.171823427,0.093428712
141,142,0.983241788,[2.35804178],0.61075,0.305,0.12825,0.044,0.0125,0.729336386,0.49057373,0.302269671,0.182181984,0.101929427
142,143,1.001299611,[2.35296218],0.6065,0.311,0.137,0.048,0.01375,0.718834972,0.488547185,0.30878664,0.179993457,0.101379302
143,144,1.065766142,[2.37438252],0.62925,0.32725,0.145,0.053,0.0145,0.733361545,0.495221561,0.308535032,0.185789652,0.106139791
144,145,1.026357032,[2.34787715],0.619,0.31525,0.1395,0.0515,0.016,0.734133782,0.504887042,0.322847153,0.18768913,0.099323784
145,146,1.014689814,[2.24902357],0.6225,0.322,0.13625,0.05075,0.01325,0.728415079,0.503327947,0.318467461,0.182438704,0.092113825
146,147,0.964941899,[2.17613457],0.60525,0.31375,0.13,0.03925,0.00975,0.711528695,0.4696395,0.29316796,0.167505826,0.0878381
147,148,0.987256674,[2.18972764],0.60675,0.3085,0.1305,0.04275,0.0135,0.717903196,0.48345626,0.299449731,0.171827004,0.094654848
148,149,1.021305666,[2.27456158],0.62125,0.3245,0.14075,0.043,0.01425,0.725484639,0.488459476,0.309543024,0.186974121,0.104096634
149,150,1.041684156,[2.2118482],0.61725,0.3335,0.1365,0.0505,0.01675,0.723160188,0.47581143,0.296613519,0.175857178,0.094866335
150,151,0.994807402,[2.27307379],0.62225,0.312,0.13325,0.044,0.0105,0.728526134,0.485560666,0.299906177,0.174796679,0.098478032
151,152,0.978159298,[2.34540326],0.62025,0.31625,0.13125,0.041,0.0105,0.720817002,0.487185147,0.314249237,0.193178536,0.107747456
